Micro Market,Overlap Count,Market Unique Products
Days Inn & Suites Anaheim,53,53
Behr Midway Coatings Cantina Market,52,54
Lincoln Hotel Monterey Park,51,51
SureStay by Best Western Ontario Airport,51,51
Ramada Anaheim Convention Center,51,55
Best Western Hesperia Victorville Suites,50,50
Best Western Plus Redondo Beach Inn,50,50
Best Western Norwalk Inn,48,48
San Manuel Service Center,48,48
WorldMark Palm Springs,47,47
Behr Killz Corner Market,47,49
SureStay Hotel by Best Western Beverly Hills,46,46
WorldMark Palm Springs Plaza Resort & Spa,45,45
Comfort Suites Barstow,45,45
Ramada National City Market,44,44
Best Western Plus Pavilions,44,44
HIE - Rancho Cucamonga Market,43,43
Holiday Inn Express & Suites San Dimas,43,43
Inn at the Park,40,40
Best Western Oceanside Inn,40,40
Club Wyndham Harbour Lights,39,39
Best Western - Glendora Market,38,38
Motel 6 Buena Park,37,37
Best Western Plus LAX Market,36,37
Baymont by Wyndham Monterey Park,34,34
Comfort Inn - Moreno Valley,34,34
Comfort Suites - San Clemente,34,34
Travelodge Commerce Market,33,33
Ramada by Wyndham Barstow,33,33
WorldMark Big Bear,32,32
Altura HOC 1st Floor Market,32,33
Hawthorn Suites by Wyndham Victorville Market,30,30
Quality Inn & Suites Camarillo-Oxnard,30,30
SureStay Plus Hotel By Best Western Upland Market,30,30
Surestay Twentynine Palms Market,28,28
Best Western Diamond Bar,25,25
Peacock Suites,23,23
Holiday Inn Express - Lake Forest Market,22,22
MainStay Suites Moreno Valley,19,19
Ultraserv Lounge Market,18,18
Queens Inn Anaheim,18,18
First Service Residential Shared Services Market,18,19
Altura HOC 2nd Floor Market,9,9
Cimarron Resort Condominium Association,7,7
